# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	19590
#@/user_id	c9f9f78f-86f8-43c0-aa8d-5b4cd8469c68
a 	啊	c=33 d=6.36438 t=19590
ke yi o 	可以哦	c=1 d=0.923116 t=19590
ke yong 	可用	c=16 d=5.91444 t=19590
ke zhi xing 	可执行	c=1 d=0.951229 t=19590
ken ding 	肯定	c=10 d=1.76426 t=19590
kong 	空	c=3 d=1.35001 t=19590
kong ge 	空格	c=1 d=0.882497 t=19590
kong hang 	空行	c=1 d=0.865022 t=19590
kong tiao 	空调	c=6 d=3.38759 t=19590
kong zhi 	控制	c=4 d=2.00519 t=19590
ku 	库	c=3 d=1.34809 t=19590
kua ke 	夸克	c=2 d=1.70448 t=19590
kua yu 	跨域	c=2 d=1.41625 t=19590
kuai 	快	c=5 d=2.41041 t=19590
kuai jie 	快捷	c=2 d=0.965605 t=19590
kuai jie jian 	快捷键	c=9 d=4.07712 t=19590
kuai su 	快速	c=3 d=1.45881 t=19590
kuai zhao 	快照	c=4 d=2.9163 t=19590
kuang 	框	c=1 d=0.891366 t=19590
kuang jia 	框架	c=4 d=2.52608 t=19590
kun 	困	c=1 d=0.431711 t=19590
kuo zhan 	扩展	c=6 d=3.72826 t=19590
la 	拉	c=1 d=0.891366 t=19590
la du zi 	拉肚子	c=1 d=0.88692 t=19590
la ji 	垃圾	c=1 d=0.402524 t=19590
la mian 	拉面	c=0 d=0.0891366 t=19590
la qu 	拉取	c=1 d=0.88692 t=19590
la shi 	拉屎	c=1 d=0.759572 t=19590
lai 	来	c=20 d=3.95028 t=19590
lai le 	来了	c=2 d=1.79203 t=19590
lai shuo 	来说	c=1 d=0.904837 t=19590
lai yi xia 	来一下	c=1 d=0.97531 t=19590
lai zhe 	来着	c=2 d=0.974585 t=19590
lan 	拦	c=1 d=0.790571 t=19590
lan 	栏	c=1 d=0.382893 t=19590
lan de 	懒得	c=1 d=0.960789 t=19590
lan jie 	拦截	c=25 d=7.37893 t=19590
lan jie ma 	拦截码	c=1 d=0.909373 t=19590
lan zhou 	兰州	c=0 d=0.0891366 t=19590
lan zhou la mian 	兰州拉面	c=1 d=0.895834 t=19590
lao 	老	c=5 d=2.45916 t=19590
lao ban 	老板	c=2 d=0.744532 t=19590
lao ben ben 	老本本	c=1 d=0.442639 t=19590
lao ge 	老哥	c=30 d=4.0672 t=19590
lao jie 	老街	c=1 d=0.733447 t=19590
lao ping tai 	老平台	c=1 d=0.786628 t=19590
lao shi 	老是	c=4 d=1.26916 t=19590
le 	了	c=235 d=15.1593 t=19590
le qu 	乐趣	c=1 d=0.810584 t=19590
lei 	类	c=1 d=0.704688 t=19590
lei chi 	雷池	c=28 d=8.4914 t=19590
lei le 	累了	c=8 d=3.42771 t=19590
lei si 	类似	c=5 d=1.93507 t=19590
lei xing 	类型	c=13 d=4.04764 t=19590
li 	里	c=3 d=1.92855 t=19590
li ji 	立即	c=1 d=0.88692 t=19590
li jie 	理解	c=1 d=0.909373 t=19590
li ma 	立马	c=0 d=0.0680451 t=19590
li ma ni 	立马你	c=1 d=0.683861 t=19590
li mian 	里面	c=31 d=3.33569 t=19590
li mian de 	里面的	c=1 d=0.951229 t=19590
li mian ye 	里面也	c=1 d=0.946485 t=19590
li shi 	历史	c=1 d=0.782705 t=19590
li zhi 	离职	c=2 d=1.53801 t=19590
lian 	联	c=1 d=0.666977 t=19590
lian 	连	c=1 d=0.66365 t=19590
lian bu shang 	连不上	c=1 d=0.701173 t=19590
lian jie 	连接	c=21 d=6.06293 t=19590
lian jie 	链接	c=8 d=2.5665 t=19590
lian shang 	脸上	c=1 d=0.722527 t=19590
lian shang 	连上	c=1 d=0.726149 t=19590
lian tong 	联通	c=9 d=5.65978 t=19590
lian wang 	联网	c=1 d=0.932394 t=19590
lian xu 	连续	c=3 d=2.45091 t=19590
liang 	量	c=1 d=0.955997 t=19590
liang bian 	两边	c=2 d=1.37927 t=19590
liang bian 	两遍	c=1 d=0.744532 t=19590
liang ge 	两个	c=14 d=3.76947 t=19590
liang jia 	两家	c=1 d=0.737123 t=19590
liang san fen zhong 	两三分钟	c=1 d=0.946485 t=19590
liang tiao 	两条	c=1 d=0.923116 t=19590
liang wai 	量外	c=1 d=0.860708 t=19590
liao ning sheng 	辽宁省	c=1 d=0.790571 t=19590
liao tian 	聊天	c=1 d=0.873716 t=19590
lie biao 	列表	c=6 d=2.80873 t=19590
lie kai 	裂开	c=1 d=0.900325 t=19590
lin shi 	临时	c=1 d=0.481909 t=19590
ling wai 	另外	c=6 d=2.25694 t=19590
liu 	六	c=3 d=1.91249 t=19590
liu 	刘	c=2 d=1.88014 t=19590
liu cheng 	流程	c=2 d=1.89904 t=19590
liu lan qi 	浏览器	c=10 d=3.38329 t=19590
liu liang 	流量	c=4 d=2.45485 t=19590
liu liang bao 	流量包	c=1 d=0.458406 t=19590
liu pan shui 	六盘水	c=1 d=0.860708 t=19590
lou 	喽	c=1 d=0.941765 t=19590
lou dong 	漏洞	c=1 d=0.516851 t=19590
lu er 	鲁尔	c=0 d=0.0923116 t=19590
lu jing 	路径	c=18 d=5.8542 t=19590
lu shu 	路数	c=0 d=0.0715338 t=19590
lu you qi 	路由器	c=1 d=0.839457 t=19590
luan 	乱	c=1 d=0.729789 t=19590
luo ji 	逻辑	c=12 d=1.88163 t=19590
ma 	吗	c=139 d=8.444 t=19590
ma 	码	c=0 d=0.0904837 t=19590
ma fan 	麻烦	c=6 d=2.03708 t=19590
ma lou 	吗喽	c=1 d=0.305746 t=19590
mai 	买	c=5 d=1.12661 t=19590
mai dao 	买到	c=1 d=0.99005 t=19590
mai de 	买的	c=4 d=1.71325 t=19590
mai ge 	买个	c=1 d=0.798516 t=19590
man 	慢	c=3 d=1.07206 t=19590
man man 	慢慢	c=2 d=1.34541 t=19590
mao 	猫	c=1 d=0.683861 t=19590
mao liang 	猫粮	c=1 d=0.782705 t=19590
mao si 	貌似	c=1 d=0.694197 t=19590
me 	么	c=1 d=0.960789 t=19590
mei 	妹	c=2 d=1.38916 t=19590
mei 	没	c=84 d=9.76468 t=19590
mei 	美	c=1 d=0.965605 t=19590
mei bian 	没变	c=2 d=1.49206 t=19590
mei ci 	每次	c=12 d=3.69259 t=19590
mei cuo 	没错	c=2 d=1.49026 t=19590
mei dai 	没带	c=1 d=0.932394 t=19590
mei de 	没得	c=1 d=0.865022 t=19590
mei diu 	没丢	c=1 d=0.970446 t=19590
mei dong guo 	没动过	c=1 d=0.71177 t=19590
mei gai 	没改	c=4 d=1.53942 t=19590
mei gan 	美感	c=1 d=0.843665 t=19590
mei ge 	每个	c=7 d=1.75109 t=19590
mei gua 	没刮	c=0 d=0.083527 t=19590
mei gua xi 	没刮系	c=1 d=0.839457 t=19590
mei guan xi 	没关系	c=4 d=1.96984 t=19590
mei hua 	美化	c=3 d=1.99005 t=19590
mei ji ge 	没几个	c=1 d=0.937067 t=19590
mei ju 	枚举	c=2 d=0.440983 t=19590
mei kai 	没开	c=5 d=3.38077 t=19590
mei kan 	没看	c=1 d=0.615697 t=19590
mei kan chu 	没看出	c=1 d=0.683861 t=19590
mei kan dao 	没看到	c=1 d=0.806541 t=19590
mei lai 	没来	c=1 d=0.923116 t=19590
mei le 	没了	c=12 d=3.85269 t=19590
mei mei 	妹妹	c=1 d=0.839457 t=19590
mei qi dong 	没启动	c=1 d=0.814647 t=19590
mei qu bie 	没区别	c=1 d=0.143704 t=19590
mei sha 	没啥	c=12 d=3.30916 t=19590
mei sha yong 	没啥用	c=1 d=0.519442 t=19590
mei shen me 	没什么	c=5 d=1.20769 t=19590
mei shen me yong 	没什么用	c=1 d=0.597501 t=19590
mei sheng xiao 	没生效	c=1 d=0.154124 t=19590
mei shi 	没事	c=4 d=2.08427 t=19590
mei shi 	美食	c=2 d=1.57776 t=19590
mei shi jian 	没时间	c=2 d=1.45545 t=19590
mei shi le 	没事了	c=2 d=1.25549 t=19590
mei shou dao 	没收到	c=1 d=0.472367 t=19590
mei shu ju 	没数据	c=1 d=0.66034 t=19590
mei tian 	每天	c=2 d=1.07295 t=19590
mei wang 	没网	c=1 d=0.814647 t=19590
mei wen ti 	没问题	c=9 d=2.26932 t=19590
mei xia qu 	没下去	c=3 d=0.603506 t=19590
mei xiang 	没想	c=1 d=0.358796 t=19590
mei xiang dao 	没想到	c=1 d=0.657047 t=19590
mei yong 	没用	c=7 d=2.2975 t=19590
mei you 	没有	c=119 d=10.3023 t=19590
mei zai 	没在	c=1 d=0.985112 t=19590
mei zuo 	没做	c=2 d=0.603506 t=19590
men 	们	c=1 d=0.822835 t=19590
men 	门	c=2 d=1.3793 t=19590
mi ma 	密码	c=9 d=2.8768 t=19590
mian ban 	面板	c=2 d=0.937067 t=19590
mian fei 	免费	c=2 d=1.64008 t=19590
mian shi 	面试	c=1 d=0.895834 t=19590
miao 	秒	c=25 d=8.98672 t=19590
mie 	灭	c=1 d=0.427415 t=19590
min gan 	敏感	c=1 d=0.909373 t=19590
ming che 	名车	c=0 d=0.0980199 t=19590
ming che na ge 	名车那个	c=1 d=0.985112 t=19590
ming cheng 	名称	c=8 d=3.22879 t=19590
ming dan 	名单	c=5 d=3.11131 t=19590
ming ge 	命格	c=1 d=0.937067 t=19590
ming ling 	命令	c=25 d=9.09992 t=19590
ming ling hang 	命令行	c=2 d=1.22946 t=19590
ming ming 	命名	c=1 d=0.980199 t=19590
ming tian 	明天	c=6 d=4.14115 t=19590
ming zi 	名字	c=6 d=2.56156 t=19590
mo ban 	末班	c=2 d=0.371818 t=19590
mo hu 	模糊	c=4 d=1.74826 t=19590
mo ming 	莫名	c=1 d=0.774916 t=19590
mo ni 	模拟	c=5 d=1.17699 t=19590
mo ni qi 	模拟器	c=7 d=2.99678 t=19590
mo ren 	默认	c=53 d=12.5655 t=19590
mo ren zhi 	默认值	c=1 d=0.574072 t=19590
mo ru e 	末入蛾	c=1 d=0.865022 t=19590
mo shi 	模式	c=21 d=12.1976 t=19590
mou 	某	c=1 d=0.99005 t=19590
mou ge 	某个	c=4 d=1.7789 t=19590
mou xie 	某些	c=11 d=3.74104 t=19590
mou yi ge 	某一个	c=1 d=0.88692 t=19590
mu ban 	模板	c=5 d=1.94434 t=19590
mu biao 	目标	c=4 d=3.04219 t=19590
mu lu 	目录	c=14 d=6.6122 t=19590
mu qian 	目前	c=5 d=1.92575 t=19590
mu tang chun 	木糖醇	c=1 d=0.869358 t=19590
na 	拿	c=11 d=4.53751 t=19590
na 	那	c=18 d=2.40701 t=19590
na bian 	那边	c=32 d=4.74073 t=19590
na chu 	拿出	c=0 d=0.0985112 t=19590
na dao 	拿到	c=3 d=1.84157 t=19590
na de 	拿的	c=1 d=0.865022 t=19590
na er 	哪儿	c=5 d=1.99102 t=19590
na fen 	那份	c=1 d=0.680451 t=19590
na ge 	哪个	c=19 d=4.3096 t=19590
na ge 	那个	c=143 d=10.7481 t=19590
na ge wei er 	那个味儿	c=1 d=0.126818 t=19590
na gu ji 	那估计	c=1 d=0.677057 t=19590
na guo lai 	拿过来	c=2 d=1.79223 t=19590
na ji ge 	那几个	c=1 d=0.918512 t=19590
na jiu 	那就	c=4 d=1.71058 t=19590
na kan lai 	那看来	c=1 d=0.918512 t=19590
na kuai 	那块	c=2 d=1.15574 t=19590
na lai 	拿来	c=1 d=0.634448 t=19590
na le 	拿了	c=1 d=0.726149 t=19590
na li 	哪里	c=1 d=0.45612 t=19590
na li 	那里	c=14 d=4.33453 t=19590
na me 	那么	c=3 d=2.05417 t=19590
na me duo 	那么多	c=2 d=1.10069 t=19590
na ni 	那你	c=2 d=0.909373 t=19590
na shi 	那是	c=1 d=0.543351 t=19590
na tao 	那套	c=1 d=0.481909 t=19590
na wan yi er 	那玩意儿	c=2 d=1.07157 t=19590
na wo 	那我	c=13 d=3.17824 t=19590
na xie 	哪些	c=5 d=1.74858 t=19590
na xie 	那些	c=23 d=4.28601 t=19590
na yang 	那样	c=1 d=0.759572 t=19590
na yi ge 	哪一个	c=1 d=0.818731 t=19590
na yi xie 	哪一些	c=1 d=0.275271 t=19590
na ying gai 	拿应该	c=2 d=0.904697 t=19590
na zhe 	拿着	c=1 d=0.932394 t=19590
na zhe ge 	那这个	c=2 d=0.905096 t=19590
na zhong 	那种	c=6 d=2.33345 t=19590
nai 	乃	c=0 d=0.0537944 t=19590
nan 	难	c=2 d=1.27238 t=19590
nan dao 	难道	c=5 d=1.98107 t=19590
nan gao 	难搞	c=1 d=0.752014 t=19590
nan ning shi 	南宁市	c=1 d=0.771052 t=19590
nan peng you 	男朋友	c=4 d=2.77177 t=19590
nan ren 	男人	c=1 d=0.891366 t=19590
nan shou 	难受	c=1 d=0.99005 t=19590
nan yong 	难用	c=1 d=0.856415 t=19590
ne 	呢	c=15 d=4.97849 t=19590
nei 	内	c=2 d=1.06187 t=19590
nei cun 	内存	c=3 d=2.27159 t=19590
nei he 	内核	c=3 d=1.77513 t=19590
nei rong 	内容	c=26 d=6.64297 t=19590
nei wang 	内网	c=6 d=3.34801 t=19590
nei zhi 	内置	c=2 d=1.13673 t=19590
neng 	能	c=33 d=4.02003 t=19590
neng bu neng 	能不能	c=15 d=3.24708 t=19590
neng gou 	能够	c=1 d=0.66034 t=19590
neng tong 	能通	c=1 d=0.826959 t=19590
neng yong 	能用	c=3 d=1.80654 t=19590
ni 	你	c=312 d=16.1196 t=19590
ni ba 	你把	c=1 d=0.744532 t=19590
ni bu shi 	你不是	c=3 d=1.20367 t=19590
ni de 	你的	c=19 d=2.81361 t=19590
ni hai neng 	你还能	c=1 d=0.932394 t=19590
ni jia li 	你家里	c=1 d=0.267135 t=19590
ni jiu 	你就	c=1 d=0.895834 t=19590
ni kan xia 	你看下	c=1 d=0.704688 t=19590
ni ke yi 	你可以	c=1 d=0.843665 t=19590
ni mei 	你妹	c=1 d=0.927743 t=19590
ni men 	你们	c=7 d=2.68274 t=19590
ni na bian 	你那边	c=2 d=0.98347 t=19590
ni na ge 	你那个	c=1 d=0.895834 t=19590
ni na li 	你那里	c=1 d=0.843665 t=19590
ni neng 	你能	c=1 d=0.308819 t=19590
ni pao 	你跑	c=1 d=0.597501 t=19590
ni shi 	你是	c=9 d=2.19578 t=19590
ni shi bu shi 	你是不是	c=3 d=1.93436 t=19590
ni shuo 	你说	c=3 d=2.05079 t=19590
ni wei shen me 	你为什么	c=1 d=0.771052 t=19590
ni xiang 	你想	c=1 d=0.71177 t=19590
ni xu yao 	你需要	c=1 d=0.918512 t=19590
ni yao 	你要	c=5 d=1.66115 t=19590
ni yao bu 	你要不	c=2 d=0.803867 t=19590
ni ye 	你也	c=1 d=0.384812 t=19590
ni ying gai 	你应该	c=1 d=0.687289 t=19590
ni yong dao 	你用到	c=1 d=0.909373 t=19590
ni you 	你有	c=1 d=0.591555 t=19590
ni za 	你咋	c=1 d=0.909373 t=19590
ni zai 	你再	c=1 d=0.704688 t=19590
ni zhe ge 	你这个	c=1 d=0.802519 t=19590
ning 	拧	c=0 d=0.0647265 t=19590
niu 	牛	c=2 d=1.45363 t=19590
niu de 	牛的	c=2 d=1.55029 t=19590
nong 	弄	c=48 d=5.18496 t=19590
nong bu hao 	弄不好	c=1 d=0.628135 t=19590
nong cheng 	弄成	c=3 d=1.24939 t=19590
nong cun 	农村	c=1 d=0.891366 t=19590
nong dao 	弄到	c=1 d=0.609571 t=19590
nong de 	弄得	c=1 d=0.66034 t=19590
nong dian 	弄点	c=1 d=0.518899 t=19590
nong diao 	弄掉	c=2 d=1.22012 t=19590
nong ge 	弄个	c=1 d=0.891366 t=19590
nong gong 	农工	c=1 d=0.941765 t=19590
nong hao 	弄好	c=3 d=1.05666 t=19590
nong hao le 	弄好了	c=4 d=2.37981 t=19590
nong le 	弄了	c=3 d=1.9185 t=19590
nong nong 	弄弄	c=1 d=0.946485 t=19590
nong wan 	弄完	c=1 d=0.344728 t=19590
nong wan le 	弄完了	c=2 d=1.31022 t=19590
nong xia 	弄下	c=6 d=2.82419 t=19590
nong yi xia 	弄一下	c=1 d=0.506617 t=19590
nuo 	挪	c=1 d=0.891366 t=19590
o 	哦	c=15 d=2.84227 t=19590
ou 	欧	c=0 d=0.0264477 t=19590
ou ge 	讴歌	c=0 d=0.0726149 t=19590
ou ren 	欧仁	c=1 d=0.970446 t=19590
pa 	怕	c=3 d=1.72402 t=19590
pa shan 	爬山	c=1 d=0.603506 t=19590
pa shi 	怕是	c=1 d=0.99005 t=19590
pai chu 	排除	c=3 d=2.81986 t=19522
pai xu 	排序	c=2 d=1.51615 t=19590
pan 	盘	c=2 d=0.918512 t=19590
pan duan 	判断	c=15 d=3.70113 t=19590
pang bian 	旁边	c=1 d=0.181302 t=19590
pang bian de 	旁边的	c=1 d=0.831104 t=19590
pao 	跑	c=69 d=11.162 t=19590
pao chu 	抛出	c=3 d=1.69983 t=19590
pao chu lai 	抛出来	c=1 d=0.937067 t=19590
pao chu lai 	跑出来	c=1 d=0.932394 t=19590
pao le 	跑了	c=10 d=3.19313 t=19590
pao wan 	跑完	c=2 d=1.50797 t=19590
pao wan le 	跑完了	c=9 d=3.43265 t=19590
pao yi bian 	跑一遍	c=1 d=0.782705 t=19590
pao yi xia 	跑一下	c=1 d=0.831104 t=19590
pei 	配	c=2 d=0.704688 t=19590
pei chi 	配池	c=1 d=0.755784 t=19590
pei zhi 	配置	c=163 d=18.7686 t=19590
pei zhi de 	配置的	c=1 d=0.965605 t=19590
peng 	彭	c=1 d=0.927743 t=19590
peng you 	朋友	c=2 d=1.40165 t=19590
pi lao 	疲劳	c=1 d=0.818731 t=19590
pi liang 	批量	c=2 d=1.14854 t=19590
pian duan 	片段	c=1 d=1 t=19590
piao 	票	c=1 d=0.66365 t=19590
pin 	拼	c=1 d=0.465334 t=19590
pin lv 	频率	c=6 d=2.87487 t=19590
ping ban 	平板	c=2 d=1.73013 t=19590
ping bi 	屏蔽	c=1 d=0.826959 t=19590
ping hua 	平滑	c=2 d=1.53069 t=19590
ping pu 	平铺	c=4 d=2.50436 t=19590
ping ri 	平日	c=0 d=0.0778801 t=19590
ping ri ai 	平日哎	c=1 d=0.782705 t=19590
ping tai 	平台	c=44 d=5.52949 t=19590
ping xiang shi 	萍乡市	c=2 d=0.940101 t=19590
po jie 	破解	c=6 d=2.77112 t=19590
pu shi wu hua 	朴实无华	c=1 d=0.839457 t=19590
pu tong 	普通	c=2 d=1.9459 t=19590
qi 	其	c=4 d=1.4846 t=19590
qi 	起	c=4 d=2.98742 t=19590
qi bu lai 	起不来	c=2 d=1.3238 t=19590
qi bu shi 	岂不是	c=1 d=0.918512 t=19590
qi dong 	启动	c=98 d=12.413 t=19590
qi dong gou 	七洞沟	c=1 d=0.238115 t=19590
qi dong le 	启动了	c=1 d=0.609571 t=19590
qi gao qiu 	起高球	c=2 d=0.559825 t=19590
qi guai 	奇怪	c=2 d=1.81986 t=19590
qi guai de hen 	奇怪得很	c=1 d=0.737123 t=19590
qi la 	其啦	c=1 d=0.759572 t=19590
qi lai 	起来	c=4 d=1.63657 t=19590
qi ma 	起码	c=1 d=0.980199 t=19590
qi ming 	启明	c=1 d=0.980199 t=19590
qi shi 	其实	c=2 d=1.06457 t=19590
qi ta 	其他	c=42 d=5.57191 t=19590
qi ta de 	其他的	c=1 d=0.869358 t=19590
qi tian 	七天	c=1 d=0.955997 t=19590
qi yong 	启用	c=5 d=2.68422 t=19590
qi yu 	其余	c=1 d=0.995012 t=19590
qian 	前	c=9 d=3.92184 t=19590
qian duan 	前端	c=2 d=1.35678 t=19590
qian hou 	前后	c=1 d=0.802519 t=19590
qian mian 	前面	c=14 d=2.82321 t=19590
qian mian de 	前面的	c=1 d=0.782705 t=19590
qian tai 	前台	c=2 d=1.73451 t=19590
qian wang 	前往	c=4 d=2.22587 t=19590
qian zhi 	前置	c=1 d=0.951229 t=19590
qian zhui 	前缀	c=1 d=0.666977 t=19590
qiang guang 	强光	c=1 d=0.913931 t=19590
qie 	切	c=10 d=2.733 t=19590
qie fen 	切分	c=11 d=4.46715 t=19590
qie huan 	切换	c=81 d=12.7902 t=19590
qie huan he 	切换和	c=1 d=0.609571 t=19590
qie hui 	切回	c=1 d=0.680451 t=19590
qie zou 	切走	c=1 d=0.299692 t=19590
qin chu 	禽畜	c=1 d=0.818731 t=19590
qin qiu 	琴球	c=1 d=0.486752 t=19590
qing 	清	c=2 d=1.47872 t=19590
qing 	请	c=5 d=2.01873 t=19590
qing chu 	清楚	c=6 d=2.2976 t=19590
qing ge 	请个	c=0 d=0.0802519 t=19590
qing ge jia 	请个假	c=1 d=0.806541 t=19590
qing hua 	清华	c=1 d=0.56836 t=19590
qing kong 	清空	c=1 d=0.882497 t=19590
qing kuang 	情况	c=27 d=3.586 t=19590
qing kuang xia 	情况下	c=1 d=0.763379 t=19590
qing li 	清理	c=7 d=3.05099 t=19590
qing ling 	清零	c=1 d=0.97531 t=19590
qing qiu 	请求	c=128 d=16.1338 t=19590
qing wen 	请问	c=1 d=0.440432 t=19590
qing xin 	清新	c=1 d=0.955997 t=19590
qing yang shi 	庆阳市	c=1 d=0.83527 t=19590
qing yuan shi 	清远市	c=1 d=0.806541 t=19590
qiu xia 	秋霞	c=0 d=0.0860708 t=19590
qiu xia o 	秋霞哦	c=1 d=0.865022 t=19590
qu 	区	c=1 d=0.301194 t=19590
qu 	去	c=30 d=6.42576 t=19590
qu 	取	c=18 d=3.58378 t=19590
qu bie 	区别	c=3 d=1.6337 t=19590
qu chong 	去重	c=2 d=1.39408 t=19590
qu chu 	去除	c=2 d=1.32083 t=19590
qu diao 	去掉	c=5 d=2.37896 t=19590
qu dong 	驱动	c=7 d=2.05812 t=19590
qu fen 	区分	c=1 d=0.814647 t=19590
qu mian 	曲面	c=1 d=0.763379 t=19590
qu qi ta 	取其他	c=2 d=1.22894 t=19590
qu se 	取色	c=1 d=0.995012 t=19590
qu xiao 	取消	c=13 d=6.48028 t=19590
qu zhi 	取值	c=6 d=2.40147 t=19590
quan 	全	c=6 d=1.87782 t=19590
quan bu 	全部	c=1 d=0.822835 t=19590
quan ju 	全局	c=7 d=4.25061 t=19590
quan liang 	全量	c=1 d=0.99005 t=19590
quan mian 	全面	c=1 d=0.694197 t=19590
quan shi 	全是	c=1 d=0.737123 t=19590
quan xian 	权限	c=5 d=1.5494 t=19590
quan zhong 	权重	c=1 d=0.379083 t=19590
que 	却	c=1 d=0.45612 t=19590
que bao 	确保	c=3 d=1.02375 t=19590
que ding 	确定	c=8 d=3.16315 t=19590
que ren 	确认	c=4 d=1.2193 t=19590
que shao 	缺少	c=2 d=1.47544 t=19590
que shi 	确实	c=9 d=3.10968 t=19590
que shi 	缺失	c=5 d=2.20386 t=19590
que xing 	却行	c=1 d=0.873716 t=19590
qun li 	群里	c=6 d=2.76224 t=19590
qun ti 	群体	c=0 d=0.0891366 t=19590
qun ti a 	群体啊	c=1 d=0.895834 t=19590
ran hou 	然后	c=31 d=4.36009 t=19590
rang 	让	c=18 d=4.27136 t=19590
rang ni 	让你	c=3 d=1.99906 t=19590
rao guo 	绕过	c=1 d=0.955997 t=19590
re 	热	c=2 d=0.803602 t=19590
ren 	人	c=2 d=0.985136 t=19590
ren dou 	人都	c=0 d=0.0891366 t=19590
ren dou yao 	人都要	c=1 d=0.895834 t=19590
ren gong 	人工	c=3 d=1.23388 t=19590
ren he 	任何	c=2 d=0.908796 t=19590
ren shi 	人事	c=1 d=0.985112 t=19590
ren wei 	认为	c=1 d=0.985112 t=19590
ren wu 	人物	c=1 d=0.67368 t=19590
ren wu 	任务	c=24 d=7.04101 t=19590
ren wu lan 	任务栏	c=1 d=0.960789 t=19590
ren yi 	任意	c=2 d=1.22047 t=19590
ren yuan 	人员	c=1 d=0.900325 t=19590
reng 	仍	c=3 d=1.06965 t=19590
reng 	扔	c=1 d=0.67032 t=19590
reng diao 	扔掉	c=1 d=0.704688 t=19590
reng diao le 	扔掉了	c=1 d=0.826959 t=19590
reng shi 	仍是	c=1 d=0.715338 t=19590
ri 	日	c=0 d=0.067032 t=19590
ri zhi 	日志	c=48 d=9.52805 t=19590
rong qi 	容器	c=6 d=3.06142 t=19590
rong yu 	冗余	c=2 d=1.80063 t=19590
ru 	如	c=2 d=0.572636 t=19590
ru guo 	如果	c=68 d=6.60136 t=19590
ru he 	如何	c=30 d=9.26753 t=19590
ru xia 	如下	c=8 d=2.47251 t=19590
ruan 	软	c=6 d=2.85982 t=19590
ruan jian 	软件	c=12 d=6.36696 t=19590
ruan lian jie 	软链接	c=8 d=4.79021 t=19590
rui 	瑞	c=3 d=2.64938 t=19590
rui xing 	瑞幸	c=1 d=0.980199 t=19590
san 	三	c=1 d=0.979056 t=19590
san ci 	三次	c=1 d=0.878095 t=19590
san fang 	三方	c=2 d=1.53612 t=19590
san ge 	三个	c=11 d=4.00673 t=19590
san tiao 	三条	c=1 d=0.873716 t=19590
san xing 	三星	c=1 d=0.759572 t=19590
san yin hao 	三引号	c=3 d=1.96546 t=19590
sao 	扫	c=1 d=0.571209 t=19590
sao miao 	扫描	c=7 d=3.32353 t=19590
sha 	啥	c=45 d=5.92442 t=19590
sha bi 	傻逼	c=1 d=0.70822 t=19590
sha de 	啥的	c=4 d=1.61737 t=19590
sha na chu 	啥拿出	c=1 d=0.99005 t=19590
sha ni ge 	杀你个	c=1 d=0.618783 t=19590
sha nv 	傻女	c=0 d=0.0965605 t=19590
sha nv ci 	傻女此	c=1 d=0.970446 t=19590
sha qing kuang 	啥情况	c=2 d=1.33817 t=19590
shai xuan 	筛选	c=6 d=2.73537 t=19590
shan chu 	删除	c=39 d=10.2643 t=19590
shan chu diao 	删除掉	c=1 d=0.852144 t=19590
shan chu le 	删除了	c=1 d=0.806541 t=19590
shan dian 	闪电	c=1 d=0.680451 t=19590
shan diao 	删掉	c=5 d=1.74935 t=19590
shan hu 	珊瑚	c=1 d=0.701173 t=19590
shan jian 	删减	c=1 d=0.571209 t=19590
shan le 	删了	c=2 d=0.869633 t=19590
shang 	上	c=11 d=2.05612 t=19590
shang ban 	上班	c=1 d=0.71177 t=19590
shang chuan 	上传	c=10 d=2.91051 t=19590
shang ci 	上次	c=12 d=3.6861 t=19590
shang hai shi 	上海市	c=2 d=1.98506 t=19590
shang lai 	上来	c=2 d=1.28685 t=19590
shang mian 	上面	c=8 d=2.45666 t=19590
shang qu 	上去	c=4 d=2.15036 t=19590
shang shu 	上述	c=1 d=0.818731 t=19590
shang wang 	上网	c=1 d=0.640824 t=19590
shang wei 	尚未	c=1 d=0.980199 t=19590
shang yi ge 	上一个	c=4 d=2.21107 t=19590
shao 	少	c=3 d=1.05167 t=19590
shao 	烧	c=1 d=0.937067 t=19590
shao dian 	少点	c=1 d=0.729789 t=19590
shao le 	少了	c=2 d=1.16769 t=19590
shao wei 	稍微	c=1 d=0.88692 t=19590
shao yi dian 	少一点	c=1 d=0.99005 t=19590
shao yu 	少于	c=6 d=3.49192 t=19590
she bei 	设备	c=39 d=10.8852 t=19590
she ji 	设计	c=4 d=0.846006 t=19590
she men 	射门	c=2 d=1.42773 t=19590
she qu 	社区	c=1 d=0.774916 t=19590
she zhi 	设置	c=76 d=15.8769 t=19590
shei 	谁	c=3 d=1.89849 t=19590
shen 	神	c=1 d=0.843665 t=19590
shen du 	深度	c=1 d=0.305746 t=19590
shen he 	审核	c=1 d=0.798516 t=19590
shen me 	什么	c=100 d=9.57945 t=19590
shen me de 	什么的	c=1 d=0.755784 t=19590
shen me ma 	什么吗	c=1 d=0.57695 t=19590
shen me yang 	什么样	c=1 d=0.329559 t=19590
shen qi 	神器	c=1 d=0.980199 t=19590
shen qi 	神奇	c=1 d=0.985112 t=19590
shen zhen shi 	深圳市	c=1 d=0.763379 t=19590
